Symbol,Date,Last Price,Bid,Ask,Volume
/ESH1,17:00:50,,,,
/ESH1,17:01:52,,,,
/ESH1,17:02:53,,,,
/ESH1,17:03:54,,,,
/ESH1,17:04:56,,,,
/ESH1,17:05:57,,,,
/ESH1,17:06:59,,,,
/ESH1,17:07:59,,,,
/ESH1,17:09:00,,,,
/ESH1,17:10:02,,,,
/ESH1,17:11:02,,,,
/ESH1,17:12:03,,,,
/ESH1,17:13:05,,,,
/ESH1,17:14:06,,,,
/ESH1,17:15:08,,,,
/ESH1,17:16:09,,,,
/ESH1,17:17:10,,,,
/ESH1,17:18:10,,,,
/ESH1,17:19:12,,,,
/ESH1,17:20:14,,,,
/ESH1,17:21:15,,,,
/ESH1,17:22:16,,,,
/ESH1,17:23:17,,,,
/ESH1,17:24:18,,,,
/ESH1,17:25:19,,,,
/ESH1,17:26:21,,,,
/ESH1,17:27:22,,,,
/ESH1,17:28:24,,,,
/ESH1,17:29:25,,,,
/ESH1,17:30:26,,,,
/ESH1,17:31:27,,,,
/ESH1,17:32:28,,,,
/ESH1,17:33:29,,,,
/ESH1,17:34:31,,,,
/ESH1,17:35:32,,,,
/ESH1,17:36:33,,,,
/ESH1,17:37:33,,,,
/ESH1,17:38:34,,,,
/ESH1,17:39:35,,,,
/ESH1,17:40:36,,,,
/ESH1,17:41:37,,,,
/ESH1,17:42:38,,,,
/ESH1,17:43:38,,,,
/ESH1,17:44:39,,,,
/ESH1,17:45:39,,,,
/ESH1,17:46:40,,,,
/ESH1,17:47:41,,,,
/ESH1,17:48:42,,,,
/ESH1,17:49:44,,,,
/ESH1,17:50:45,,,,
/ESH1,17:51:47,,,,
/ESH1,17:52:48,,,,
/ESH1,17:53:49,,,,
/ESH1,17:54:50,,,,
/ESH1,17:55:51,,,,
/ESH1,17:56:52,,,,
/ESH1,17:57:54,,,,
/ESH1,17:58:55,,,,
/ESH1,17:59:56,,,,
/ESH1,18:00:57,,,,
/ESH1,18:01:58,,,,
/ESH1,18:02:59,,,,
/ESH1,18:04:00,,,,
/ESH1,18:05:01,,,,
/ESH1,18:06:01,,,,
/ESH1,18:07:03,,,,
/ESH1,18:08:04,,,,
/ESH1,18:09:05,,,,
/ESH1,18:10:07,,,,
/ESH1,18:11:08,,,,
/ESH1,18:12:09,,,,
/ESH1,18:13:10,,,,
/ESH1,18:14:11,,,,
/ESH1,18:15:12,,,,
/ESH1,18:16:13,,,,
/ESH1,18:17:15,,,,
/ESH1,18:18:16,,,,
/ESH1,18:19:17,,,,
/ESH1,18:20:18,,,,
/ESH1,18:21:19,,,,
/ESH1,18:22:20,,,,
/ESH1,18:23:21,,,,
/ESH1,18:24:22,,,,
/ESH1,18:25:24,,,,
/ESH1,18:26:24,,,,
/ESH1,18:27:25,,,,
/ESH1,18:28:27,,,,
/ESH1,18:29:28,,,,
/ESH1,18:30:29,,,,
/ESH1,18:31:30,,,,
/ESH1,18:32:31,,,,
/ESH1,18:33:33,,,,
/ESH1,18:34:34,,,,
/ESH1,18:35:36,,,,
/ESH1,18:36:37,,,,
/ESH1,18:37:38,,,,
/ESH1,18:38:39,,,,
/ESH1,18:39:40,,,,
/ESH1,18:40:41,,,,
/ESH1,18:41:42,,,,
/ESH1,18:42:43,,,,
/ESH1,18:43:45,,,,
/ESH1,18:44:46,,,,
/ESH1,18:45:48,,,,
/ESH1,18:46:49,,,,
/ESH1,18:47:50,,,,
/ESH1,18:48:51,,,,
/ESH1,18:49:52,,,,
/ESH1,18:50:53,,,,
/ESH1,18:51:55,,,,
/ESH1,18:52:56,,,,
/ESH1,18:53:57,,,,
/ESH1,18:54:59,,,,
/ESH1,18:55:59,,,,
/ESH1,18:57:01,,,,
/ESH1,18:58:02,,,,
/ESH1,18:59:02,,,,
/ESH1,19:00:03,,,,
/ESH1,19:01:04,,,,
/ESH1,19:02:05,,,,
/ESH1,19:03:06,,,,
/ESH1,19:04:07,,,,
/ESH1,19:05:08,,,,
/ESH1,19:06:09,,,,
/ESH1,19:07:10,,,,
/ESH1,19:08:11,,,,
/ESH1,19:09:12,,,,
/ESH1,19:10:13,,,,
/ESH1,19:11:15,,,,
/ESH1,19:12:15,,,,
/ESH1,19:13:17,,,,
/ESH1,19:14:19,,,,
/ESH1,19:15:19,,,,
/ESH1,19:16:20,,,,
/ESH1,19:17:22,,,,
/ESH1,19:18:23,,,,
/ESH1,19:19:24,,,,
/ESH1,19:20:25,,,,
/ESH1,19:21:27,,,,
/ESH1,19:22:28,,,,
/ESH1,19:23:29,,,,
/ESH1,19:24:30,,,,
/ESH1,19:25:31,,,,
/ESH1,19:26:32,,,,
/ESH1,19:27:33,,,,
/ESH1,19:28:35,,,,
/ESH1,19:29:36,,,,
/ESH1,19:30:38,,,,
/ESH1,19:31:39,,,,
/ESH1,19:32:40,,,,
/ESH1,19:33:41,,,,
/ESH1,19:34:42,,,,
/ESH1,19:35:44,,,,
/ESH1,19:36:45,,,,
/ESH1,19:37:47,,,,
/ESH1,19:38:48,,,,
/ESH1,19:39:49,,,,
/ESH1,19:40:50,,,,
