Date,T-Bills,T-Notes & T-Bonds,FRN,TIPS,FAS,AMBS,CMBS,Total,Change
2021-01-06,"326,044,000.0","3,998,176,018.3","17,269,242.7","314,306,602.3","2,347,000.0","2,029,629,198.2","9,840,055.2","6,697,612,116.8","10,534,899.2"
2021-01-13,"326,044,000.0","4,018,712,018.3","17,269,242.7","317,908,602.3","2,347,000.0","2,029,629,198.1","9,912,700.9","6,721,822,762.3"," 24,210,645.5"
2021-01-20,"326,044,000.0","4,044,161,357.8","17,269,242.7","313,218,401.0","2,347,000.0","2,090,005,609.6","9,843,460.9","6,802,889,072.0","81,066,309.7"
2021-01-27,"326,044,000.0","4,064,298,357.8","17,269,242.7","315,619,401.0","2,347,000.0","2,059,890,462.9","9,878,399.4","6,795,346,863.9","-7,542,208.1"
2021-02-03,"326,044,000.0","4,063,997,932.0","21,038,668.5","318,021,401.0","2,347,000.0","2,059,899,463.0","9,889,406.6","6,801,237,871.1","5,891,007.2"
2021-02-10,"326,044,000.0","4,088,132,932.0","21,038,668.5","320,422,401.0","2,347,000.0","2,059,900,462.9","9,889,406.6","6,827,774,871.0","26,536,999.9"
2021-02-17,"326,044,000.0","4,113,203,932.0","21,038,668.5","320,422,401.0","2,347,000.0","2,160,665,581.2","9,896,369.9","6,953,617,952.6","125,843,081.6"
2021-02-24,"326,044,000.0","4,129,739,932.0","21,038,668.5","324,023,401.0","2,347,000.0","2,170,781,817.2","9,896,369.9","6,983,871,188.6","30,253,236.1"
2021-03-03,"326,044,000.0","4,149,610,932.0","21,038,668.5","326,422,401.0","2,347,000.0","2,123,505,704.4","9,894,189.4","6,958,862,895.3","-25,008,293.3"
2021-03-10,"326,044,000.0 ","4,169,747,932.0 ","21,038,668.5","327,623,401.0 ","2,347,000.0","2,123,541,703.8","9,894,189.4","6,980,236,894.7","21,373,999.4"
2021-03-22,"326,044,000.0","4,192,016,932.0","21,038,668.5","327,623,401.0","2,347,000.0","2,211,508,823.0","9,919,686.9","7,090,498,511.4","110,261,616.7"
